Messages,Start Date,District,Communication Channel,The message contains
people says covid 19 is real,11/5/2022,Tonkolili,Social mobilization Activities,Information
people are saying the covid 19 vaccine is good it also cure another sickness apart from covid 19,11/5/2022,Tonkolili,Social mobilization Activities,Rumors
ebola is in kono now,11/5/2022,Tonkolili,WhatsApp,Information
covid 19 vaccine make people sick after tow days of taken it.,11/5/2022,Tonkolili,Word of mouth,Information
pergrance woman  will not take the covid -19 vaccine because they said it has side effect,11/5/2022,Tonkolili,Word of mouth,Information
pergrance woman  will not take the covid -19 vaccine because they said it has side effect,11/5/2022,Bombali,Word of mouth,Information
stigma and the way  the sick were treated during ebola makes them fear to take the covid 19 vaccine,11/5/2022,Tonkolili,Radio SMS,Concerns
covid-19 vaccination in take just the way  president  kill sierra leonea,11/5/2022,Tonkolili,Word of mouth,Misinformation
measles outbreak,11/5/2022,Bombali,Word of mouth,Information
measle,11/5/2022,Bombali,Word of mouth,Information
diarrhea outbreak,11/5/2022,Bombali,Word of mouth,Information
the intake of covid 19 vaccine in tonkolili district .,11/5/2022,Tonkolili,Social mobilization Activities,Information
hpv vaccine is mainly for girls at age ten.,11/5/2022,Bo,Word of mouth,Information
i was one afread to take the covid19 vaccine because no one affected in my community,11/5/2022,Tonkolili,Word of mouth,Rumors
some people take the vaccine because they want to protect them self,11/5/2022,Western Urban,Word of mouth,Concerns
corona has finish or no more,11/5/2022,Tonkolili,Word of mouth,Misinformation
covid-19 in mayamba,11/5/2022,Moyamba,Word of mouth,Rumors
the intake of the covid 19 vaccine in tonkolili district,11/4/2022,Tonkolili,Social mobilization Activities,Information
other believe that it is a man made desease,11/5/2022,Western Urban,Word of mouth,Rumors
the people said they will not take covid-19 vaccine because they get sick after taken it.,11/5/2022,Tonkolili,Word of mouth,Concerns
afraid of taken the vaccine.,11/4/2022,Western Urban,Word of mouth,Information
covid 19  is  not real because  we  did see death  body of an infected person.,11/5/2022,Port Loko,Word of mouth,Concerns
araid of taking the vaccine,11/4/2022,Western Urban,Word of mouth,Information
"i take the first vaccine but the second dose i didn't take it because preaginat 
womann will not take it.",11/5/2022,Tonkolili,Word of mouth,Information
"ebola is real and it was in sierra leone,and coranavirus is also real but it is not here in sierra leone because he never see any patients suffering from covid 19 or died off coranavirus in sierra leone.but ebola people died off and there are more treatment centers ,and more funds was provided by sierra leone government, and he was a screener on that time with a full huge payment. but coranavirus no rapid death in sierra leone only europe countries.in fact government handle all the funds that was provided by the european to fight covid 19disease.",11/5/2022,Kambia,Word of mouth WhatsApp,Misinformation
covid 19 vaccination people afraid to take the vaccines,11/5/2022,Tonkolili,Word of mouth,Rumors
"the death of a soldier.
his name is abdul fofanah.",11/4/2022,No specific district,Word of mouth,Information
reporting on dog bite.,11/5/2022,No specific district,Word of mouth,Concerns
i was are afraid of take covid19 because l.did not seen any body who is affected,11/5/2022,Tonkolili,Word of mouth,Rumors
afraid of taking the vaccine.,11/5/2022,No specific district,Word of mouth,Information
fire outbreak in mafemgbeh lower byrne lane freetown,11/5/2022,No specific district,Other,Information
"people have not taken the covid-19 vaccine due to general fear, of what, they can't say.",11/3/2022,Western Urban,Word of mouth Other Social Media,Concerns
she refused to take the covid-19 vaccine because the family have lost a sister after taking the jab.,11/5/2022,Western Urban,Word of mouth,Misinformation
"she was getting fear to take covid19 vaccine, but when the paramount chief of dixon chiefdom together with sub chiefs and his wive sat before and vaccinated them,finally she also accepted and take the vaccine,and she said government didn't have any intention to kill all the people in sierra leone and if he did who will vote for them and who are they going to rule.
and she also said she when she took covid vaccines she never sick again in that time.",11/5/2022,Kambia,Social mobilization Activities Word of mouth,Information
some side that it's good to take the second doses  it prevents them not to have covid,11/5/2022,Western Urban,Word of mouth,Concerns
the covid 19 vacine  is  very  good  if you take  it,11/2/2022,Western Urban,Word of mouth Other Social Media,Rumors
i  will try to  provide  its as some of my guys said its good it give power for sex,11/5/2022,Western Urban,Word of mouth Other,Information
people are will  to take the covid 19 vaccination,11/5/2022,Western Urban,Social mobilization Activities Word of mouth,Information
in our outreach must people said because  of the job they need the card,11/5/2022,Western Urban,Social mobilization Activities Word of mouth,Concerns
the vaccine will help you if u take it,11/5/2022,Western Urban,Social mobilization Activities Word of mouth,Rumors
the covid-19 vaccine gives proper ejaculation,11/5/2022,Western Urban,Word of mouth,Rumors
covid 19 vaccine cannot save people from having covid 19,11/5/2022,Western Urban,Market/Shops/Street,Rumors
rabies... we are see dogs in our community there body is fine sometimes how can we knows that they have rabies,11/4/2022,Western Urban,Word of mouth,Concerns
corona vaccine.... i want to know if i have been vaccine and i want to travel should i go for the vaccine again,11/5/2022,Western Urban,Word of mouth,Concerns
"the said because the vaccine card is important, that is the only reason that will make them take it.",11/5/2022,Western Urban,Word of mouth Other,Concerns
sevica cancer vaccine is now available for all ten years old girls,11/5/2022,Bo,Social mobilization Activities Word of mouth,Information
antranx is not in extensce,11/5/2022,Port Loko,Word of mouth,Misinformation
i did not vaccine because other told me stop to mess,11/6/2022,Western Urban,Word of mouth WhatsApp,Misinformation
"no covid-19 in guinea, because they are taking the vaccine",11/6/2022,Kambia,Word of mouth,Rumors
covid 19 outbreaks in kono,11/6/2022,Tonkolili,Word of mouth,Information
covid-19 vaccination is nothing to human system.,11/6/2022,Port Loko,Word of mouth,Information
covid-19 vaccine is a fifth generation vaccine and therefore he's not taking it.,11/5/2022,Bo,Word of mouth,Misinformation
covid-19 is already gone away and why are we talking about it !.,11/6/2022,Bo,Word of mouth,Rumors
so people just like to take the vaccine because they want to protect them self,11/6/2022,Western Urban,Word of mouth,Concerns
some people are misinformed about the vaccine that if they take the vaccine thay will die,11/6/2022,Western Urban,Word of mouth,Misinformation
so say that more sentesisation for people to believe about the vaccine,11/6/2022,Western Urban,Word of mouth,Information
government bring convid 19 to making money,11/6/2022,Bo,Word of mouth,Misinformation
coronavirus is mainly for the white people not for the black people,11/6/2022,Kambia,Word of mouth,Rumors
covid 19 was never in sierra leone,11/6/2022,Western Urban,Market/Shops/Street,Misinformation
anthrax disease is not real in kambia,11/5/2022,Kambia,Word of mouth,Rumors
"fodaya mchp give priority to guineans than the community people in terms of treatment at the health facility, and she said the nurses told them that they are not pay a huge amount of money compare to guineans that why they treated the guineans first,but the guineans  has their own facilities.so now that the nurses give the priorities to guineans that why they absconded the centre and transfer to mafaray chc for routine marklate,anc visit and even treatments.",11/6/2022,Kambia,Word of mouth,Concerns
covid 19 vaccine makes my hand heavy.,11/6/2022,Bo,Word of mouth,Rumors
early marriage is not good for a girl child,11/6/2022,Bonthe,Word of mouth,Information
abortion is not good for women,11/6/2022,Bonthe,Word of mouth,Information
drugs abuse is not good,11/6/2022,Bonthe,Word of mouth,Information
drugs abuse is not good,11/7/2022,Bonthe,Word of mouth,Information
covid 19 vaccine is good for man,11/7/2022,Bo,Word of mouth,Information
covid19 vaccine is not  good for human being but animals,10/12/2022,Bo,Word of mouth,Misinformation
she also said at first she had that if you take the vaccine the person will die.,11/7/2022,Western Urban,Word of mouth,Concerns
mr bangura has not taken the covid 19 vaccine yet,11/7/2022,Western Urban,Word of mouth Other Social Media,Misinformation
mr obi sesay has not yet taken the vaccine so he said because of me he is going to take it now.,11/7/2022,Western Urban,Word of mouth,Misinformation
covid 19 vaccine is not real and is injurious to human being,11/7/2022,Kambia,Word of mouth,Rumors
"mr abubarra c. jalloh . has not yet taken the covid 19 vaccine. he said because of what he hard. like some will die, he dose not trust the government.",11/7/2022,Western Urban,Word of mouth,Misinformation
covid19  vaccine is another way of getting stroke,11/4/2022,Bo,Religious event Word of mouth,Misinformation
i didn't take covid 19 vaccine because i understood it will make people become too fat,11/4/2022,Western Urban,Word of mouth,Rumors
after taken covid 19 vaccine my hand become hearver,11/7/2022,Bo,Word of mouth,Rumors
preparedness for avian influenza,11/7/2022,Bonthe,Word of mouth,Information
preparedness for any possible outbreak of  the avian influenza,11/7/2022,Bonthe,Word of mouth,Information
"one osman take first dose of covid 19 vaccine and later he felling headache,he decided not to take the second dose of the vaccine.",11/7/2022,Western Urban,Word of mouth,Concerns
"if someone gets vaccinated, the person will seriously sick",11/7/2022,Port Loko,Word of mouth,Misinformation
how long does the covid-19 vaccine last in the immune system...unless l know before i take it.,11/6/2022,Bo,Market/Shops/Street Word of mouth,Information
he dicsided to take it now he has know the truth  about the covid 19 vaccine from me.,11/7/2022,Western Urban,Word of mouth,Misinformation
i have  taken  my first  dose  and it's  safe  no side effects and i am going  for the second  at the  phu tomorrow,11/7/2022,Western Urban,Word of mouth,Concerns
"the cervical cancer( hpv) all the adolescent girls that take the hpv vaccine are at risk to get cancer,because it's life antigen given to the adolescent girl,sierra leone didn't have a sickness like this,that why the health worker's tracings the adolescent girl that are school going and non schools going.
and they won't give birth again, they will remain barrens.",11/7/2022,Kambia,Market/Shops/Street Word of mouth,Misinformation
the vaccine is very for prevention of  covid 19 in our system,11/6/2022,Western Urban,Social mobilization Activities Television Radio Other Social Media Online newspapers Flyers and printed materials,Information
their is no need why people  don't want to  take  the covid 19 vacine,11/6/2022,Western Urban,Flyers and printed materials,Rumors
covid-19 is not in sierra leone the government want to make money,11/5/2022,Kambia,WhatsApp,Misinformation
measles outbreak,11/6/2022,Kambia,Word of mouth Other,Rumors
the was no ebola in sierra leone just that government want to make more money out of it,11/5/2022,Kono,Word of mouth,Misinformation
ibula outback in kono,11/7/2022,Kono,Word of mouth,Information
there is no ebola out break in lono,11/7/2022,Kono,Word of mouth,Misinformation
"there i n eb,,,,,,,,",11/7/2022,Kono,Word of mouth Other Social Media,Information
ebola outbreak in kono.,11/7/2022,Kono,Word of mouth Other Social Media,Information
there no  ebolo. outbreak,11/7/2022,Kono,Word of mouth,Misinformation
there is no ebola in sierra leone government want to make more money,11/7/2022,Kono,Word of mouth,Misinformation
ebola outbreak in kono,11/7/2022,Kono,Word of mouth WhatsApp Other Social Media,Information
"there is no ebola in sierra leone,government is making money.",11/7/2022,Kono,Word of mouth,Misinformation
ebola outbreak in kono,11/7/2022,Kono,Word of mouth Other Social Media,Information
there is no ebola out break in sierra leone,11/7/2022,Kono,Word of mouth,Misinformation
no ebola,11/7/2022,Kono,Word of mouth,Misinformation
evd outbreak in kono,11/7/2022,Kono,Word of mouth Other Social Media,Information
there is no ebola in kono government want to make money,11/7/2022,Kono,Word of mouth,Misinformation
corona....  is heard that people are dying from the sick that why my family did not take the vaccine,11/5/2022,Western Urban,Market/Shops/Street Word of mouth,Rumors
corona... i was seriously sick after i get vaccinated,11/7/2022,Western Urban,Word of mouth,Concerns
covid19 vaccine make peoplewaek and hopeless when talking it,11/7/2022,Kambia,Word of mouth WhatsApp,Misinformation
the people refused to take the vaccine because it may reduse their life sperm,11/4/2022,Port Loko,Word of mouth WhatsApp Other Social Media,Misinformation
"when you take covid-19 injection
it will produce light your body",11/7/2022,Kono,Word of mouth WhatsApp Other Social Media,Misinformation
"on sunday 6th november 2022,at 1:00 he saw a lot of white people at gbalamuya border from guinea to entered in sierra leone with a lot of buses. but he got and information from whatsapp groups that the white people want to bring another pandemic again that why they came to sierra leone to allow the president to agree and sign for other sick.and later he pass his regulations like lockdown, no public gathering etc like covid19 restrictions.",11/7/2022,Kambia,WhatsApp,Misinformation
evd out break in kono,11/7/2022,Kono,Word of mouth Other Social Media,Information
climate change,11/7/2022,Kono,Word of mouth,Information
corona outbreak  is real,11/6/2022,Western Urban,Social mobilization Activities Word of mouth Radio Other Social Media Online newspapers Flyers and printed materials,Information
it is good to take the vacine because it prevent us from covid 19 outbreak,11/7/2022,Western Urban,Social mobilization Activities Market/Shops/Street Radio Other Social Media Online newspapers Flyers and printed materials,Information
the vaccine will reduce their life sparm when taking that why they refused to take the vaccine,11/7/2022,Port Loko,Word of mouth WhatsApp Other Social Media,Misinformation
animal disease skin diseases,11/7/2022,Port Loko,Word of mouth,Information
their no covid-19 the just trying to make money,11/7/2022,Port Loko,Word of mouth WhatsApp Other Social Media,Misinformation
cow milk causes anthrax disease.,11/7/2022,Kono,Word of mouth,Misinformation
information about anthrax outbreak,11/7/2022,Karene,Word of mouth,Rumors
cow milk not safe because of the outbreak of anthrax,11/7/2022,Kono,Word of mouth,Information
one woman report that when she takes the first dose two weeks she did not bee able to use his hand,11/7/2022,Port Loko,Word of mouth,Concerns
cow milk not safe because of the outbreak of anthrax,11/7/2022,Kono,Word of mouth,Information
cow milk and other meat can not be eating because of antrax,11/7/2022,Karene,Word of mouth,Rumors
government wanted to kill all our animals and sell our land.,11/7/2022,Karene,Word of mouth,Information
mom government said we should not eat cow meat and goat meat because there is a sickness call anthrax that has been developed ant it is very dangerous.,11/7/2022,Kono,Other Social Media,Information
anthrax is disease than can be transmitted by contacting eating from contaminated aminal like cow.,11/7/2022,Kono,Word of mouth,Rumors
"bush meet was not good, because of the cause of outbreak of anthrax in Port Loko and karena, it lead",11/7/2022,Port Loko,Public event,Information
"bush meet was not good, because of the cause of outbreak of anthrax in Port Loko and karena, it lead",11/7/2022,Karene,Public event,Information
evd outbreak in kono,11/7/2022,Kono,Word of mouth Other Social Media,Information
cow milk and other meat cannot be eat because of the spear of astrant,11/7/2022,Karene,Word of mouth,Rumors
cow milk and other meat cannot be eat because of the spear of astrant,11/7/2022,Port Loko,Word of mouth,Rumors
atras brake out,11/7/2022,Kono,Word of mouth,Information
i have taken mine during the time they given it out but i have a swallow hand that why my husband and children refuses to take it,11/7/2022,Western Rural,Social mobilization Activities,Concerns
anthrax decades from cow meat or it product,11/7/2022,Port Loko,Word of mouth,Misinformation
anthrax decades from cow meat or it product,11/7/2022,Karene,Word of mouth,Misinformation
covid-19 vaccine killed fatu,11/7/2022,Kono,Word of mouth,Rumors
i only heard that we should take the vaccine,11/7/2022,Western Rural,Social mobilization Activities,Information
covid 19 vaccine kills,11/7/2022,Kono,Word of mouth,Rumors
"a renounce caller committee rep, tamba komba says that, fatu take covid-19 injection and she passed away.",11/7/2022,Kono,Radio,Rumors
death of fatu,11/7/2022,Kono,Word of mouth,Information
covid-19 vaccine killed fatu,11/7/2022,Kono,Radio,Misinformation
the death fatu by taking civic vaccin,11/7/2022,Kono,Word of mouth,Information
dead of fatu on 7 11 2022,11/7/2022,Kono,Word of mouth,Information
covid 19 vaccine kills fatu,11/7/2022,Kono,Word of mouth,Rumors
fatu die after taken the covid-19 vaccine.,11/7/2022,Kono,Word of mouth,Rumors
fatu was dead as the result of taking the covid 19 vaccine.,11/7/2022,Kono,Word of mouth,Misinformation
death of fati after taken covid vaccine,11/7/2022,Kono,Word of mouth,Rumors
afraid of  taking the vaccine,11/7/2022,No specific district,Word of mouth,Rumors
isata kargbo.  hand heavy and severe headache,11/7/2022,Western Urban,Word of mouth,Concerns
covid vaccine is not good her health,11/7/2022,Western Urban,Word of mouth Radio,Concerns
denial of taking the vaccine,11/7/2022,No specific district,Word of mouth,Rumors
covid 19 vaccine is to reduce africans population,11/7/2022,Western Urban,Word of mouth WhatsApp,Misinformation
"the corona virus is no longer in the country, is just the government who wants to make money out of it.",11/7/2022,Western Urban,Word of mouth,Misinformation
i'm waiting for my second dose of c ovid 19 vaccine does,11/7/2022,Western Urban,Word of mouth,Information
vaccine causes more sickness,11/7/2022,Kambia,Market/Shops/Street Word of mouth,Rumors
"hard swelling, headache and upset",11/7/2022,Western Urban,Word of mouth WhatsApp,Misinformation
afraid of being infected with the virus (covid 19),11/7/2022,No specific district,Word of mouth,Information
"no covid 19 in sierra leone.
this government is trying make with the international would",11/7/2022,Western Urban,Political events Word of mouth,Information
some people don't take the dose of covid-19 because of some complications.,11/6/2022,Port Loko,Word of mouth,Concerns
surge 12 vaccination uptake bamoi luma,11/7/2022,Kambia,Market/Shops/Street,Concerns
people disagree about the  h p v vaccine because it only target young girls only.,11/7/2022,Port Loko,Word of mouth,Rumors
malaria has kill young child in the john top community,11/7/2022,Western Urban,Word of mouth WhatsApp,Information
hpv vaccination is mainly for african  females to stop the generation yet unborn.,11/7/2022,Port Loko,Word of mouth,Misinformation
the said there is no covid-19 in sierra leone is money making,11/7/2022,Western Urban,Word of mouth,Information
"the first dose of corona vaccines affect most of the people,in gbinleh chiefdom but the second dose it not real, said by community people",11/7/2022,Kambia,Word of mouth,Rumors
i get high fever after taking covid 19 vaccine,11/7/2022,Bo,Word of mouth,Information
ebola brake out,11/7/2022,Kono,Word of mouth,Information
the death of fatu  by covic 19 vaccine,11/7/2022,Kono,Word of mouth,Information
"some people says, when they take the vaccine they will get sick.",11/7/2022,Western Urban,Word of mouth,Concerns
some said corona various is finished in sierra leone.,11/7/2022,Port Loko,Word of mouth,Misinformation
any person with fire born most be arrested because of the fire break out at the fuel station,11/7/2022,Kono,Word of mouth,Misinformation
ebola break out kono,11/7/2022,Kono,WhatsApp,Information
fatu died after she took covid-19 vaccine,11/7/2022,Koinadugu,Word of mouth,Rumors
fatu died after she took covid-19 vaccine,11/7/2022,Kono,Word of mouth,Rumors
ebola out break in kono,11/8/2022,Kono,Word of mouth Other Social Media,Information
ebula out brack in kono,11/7/2022,Kono,Religious event,Information
i heard about fair at madina village in kono,11/8/2022,Kono,Word of mouth,Information
fatu die after take covid 19 vaccine,11/8/2022,Kono,Word of mouth,Rumors
fatu die after taken covid 19 vaccine,11/8/2022,Kono,Word of mouth,Rumors
corona treatment center established right inside koidu government hospital,11/7/2022,Kono,Word of mouth,Misinformation
ebola outbreak in kono,11/8/2022,Kono,Word of mouth,Rumors
ebola outbreak in kono,11/8/2022,Kono,Word of mouth,Rumors
"after fatu took the corona vaccine, suddenly she died",11/7/2022,Kono,Word of mouth,Misinformation
fire accident at the np fuel station in koidu.,11/8/2022,Kono,Word of mouth,Misinformation
light reflect on the body after taking covid-19 vaccine,11/8/2022,Kono,Word of mouth WhatsApp,Rumors
"fatu
  died by covid 19 vaccination",11/8/2022,Kono,Word of mouth,Rumors
covid 19 outbreak in kono,11/8/2022,Kono,Word of mouth,Rumors
ebola outbreak in kono,11/7/2022,Kono,Word of mouth,Information
i believe musu died because of the covid 19 vaccine she take.,11/8/2022,Kono,Word of mouth,Misinformation
fatu died after taken covid 19 vaccin,11/8/2022,Kono,Word of mouth,Information
i heard that another virus is in the country which margborg???,11/7/2022,Western Urban,Word of mouth,Rumors
covid 19 was a scam and the government only wanted to eat money,11/7/2022,Western Urban,Word of mouth,Misinformation
fatu dead by taking covid19 vaccine injection,11/20/2022,Kono,Word of mouth,Information
covid-19 vaccine killed fatu.,11/8/2022,Kono,Word of mouth,Misinformation
i can not take the covid 19 vaccine because it is just a way of getting money by the government all in the name that there is covid,11/8/2022,Western Urban,Word of mouth,Misinformation
a pupilar artist identify as big fish 🐟 was arrested for thief.,11/8/2022,Kono,Word of mouth Other,Rumors
ebola out break in kono is not true is the way of making money by the government,11/7/2022,Kono,Word of mouth,Rumors
fatu have taken the covid-19 marklate and it has lead to the death of her,11/7/2022,Kono,Word of mouth,Rumors
refuse to eat meat neither drink the breast milk of the cow because of the sickness,11/7/2022,Kono,Word of mouth,Rumors
taking the covid-19 marklate will give cause of  your hand to light,11/7/2022,Kono,Word of mouth Other Social Media,Misinformation
fatu is dead because been contaminated with covid19,11/7/2022,Kono,Word of mouth,Rumors
any one that goes to hospital with fire burning would be arrested for police investegation.,11/7/2022,Kono,Word of mouth,Misinformation
pa salifu koroma has never taken the covid 19 vaccine yet. so today i talk with him.,11/8/2022,Western Urban,Word of mouth,Rumors
she has taken the covid 19 vaccine,11/8/2022,Western Urban,Word of mouth,Concerns
evd outbreak in kono district,11/7/2022,Kono,Word of mouth WhatsApp Facebook Twitter Instagram Youtube Other Social Media,Information
koidu government hospital is allowing chos to work instead of the doctors,11/8/2022,Kono,Public event Market/Shops/Street Word of mouth Radio WhatsApp Facebook Other Social Media,Concerns
musa conteh has never taken the covid 19 vaccine yet. i have talk to him and he is ready to take the vaccine.,11/8/2022,Western Urban,Word of mouth,Rumors
another sick is comming by of monkey pox,11/7/2022,Bonthe,WhatsApp,Rumors
fire accident at np petro station koidu city kono,11/8/2022,Kono,Word of mouth,Information
if anyone take the vaccine it will affect your health tomorrow by giving you another sickness,11/8/2022,Kono,Word of mouth,Rumors
covid19 vaccine affect by giving you other sickness in future when take.,11/8/2022,Kono,Word of mouth,Misinformation
alote of infomation for c19,11/8/2022,Kono,Word of mouth,Rumors
if anyone take the vaccine it will affect your system in future,11/8/2022,Kono,Word of mouth,Rumors
weakness after taking the first dose of covid-19 vaccine,11/8/2022,Kono,Word of mouth,Information
fatu die after the intake of   covid 19,11/7/2022,Kono,Word of mouth,Rumors
i hear that we that have taken the covid 19 vaccine it is going to affect us in a long run,11/8/2022,Kono,Word of mouth WhatsApp Other Social Media,Misinformation
money after talking the corona vaccine.,11/8/2022,Kono,Word of mouth,Rumors
people are getting vaccination card without the vaccination.,11/8/2022,Kono,Word of mouth,Concerns
body weakness after taking the covid-19 vaccine 💉.,11/8/2022,Kono,Social mobilization Activities,Concerns
why pregnant women not allowed to take co:id 19 immunization,11/8/2022,Kono,Social mobilization Activities,Concerns
we hear from finds yusuf that covid19 injection can give you anothers sickness,11/8/2022,Kono,Word of mouth,Misinformation
that the covid-19 vaccine is effective and safe,11/8/2022,Kono,Word of mouth Radio,Information
somebody took the vaccine and experienced vomiting,11/8/2022,Kono,Word of mouth,Concerns
finds jusu said never take c 19,11/8/2022,Kono,Word of mouth,Rumors
on c19,11/8/2022,Kono,Word of mouth,Information
covid-19 vaccination will affect your hand after taken the injection,11/8/2022,Kono,Word of mouth,Rumors
covid 19 gives you another sickness in long run,11/8/2022,Kono,Word of mouth,Rumors
i hear that all those that have taken the first and second dose of the covid 19 vaccine are going to be affected.,11/8/2022,Kono,Market/Shops/Street Word of mouth,Rumors
kai komba said the message of the vaccination discussion his through radio station.,11/8/2022,Kono,Radio,Information
no drugin the health center,11/7/2022,Bo,Word of mouth,Rumors
corona vaccine is good,11/6/2022,Kambia,Word of mouth Television,Information
ebolo brake out,11/8/2022,Kono,Word of mouth,Information
no anthrax vaccine in the koidu government hospital,11/8/2022,Kono,Public event Word of mouth,Concerns
government  provide drugs for under five children,11/8/2022,Bo,Word of mouth,Concerns
h p v vaccine make girl not to bornd,11/8/2022,Bo,Word of mouth,Misinformation
the peoples of nerekoroh village say let the phu staff goes with the covid 19 vaccination.,11/7/2022,Tonkolili,Word of mouth,Concerns
isha turay has taken the covid 19 vaccine,11/8/2022,Western Urban,Word of mouth,Misinformation
her name is byekisu conteh and she is living in moyiba she is still thinking about how to take the vaccine,11/8/2022,Western Urban,Word of mouth,Concerns
covid 19 vaccine can cause paralysis,11/8/2022,Western Urban,Word of mouth WhatsApp,Rumors
this disease is not created by  god because only the poor died of the disease no government minister died with the disease,11/8/2022,Port Loko,Word of mouth,Misinformation
covid 19 vaccine can give light,11/8/2022,Western Urban,Word of mouth WhatsApp Twitter Online newspapers,Misinformation
corona is real and the vaccine is safe,11/7/2022,Western Urban,Word of mouth Television Radio,Information
covid 19 is man made because it only kill the poor people. if god created it it had no limitation to people,11/8/2022,Port Loko,Word of mouth,Misinformation
anthrax  is not real,11/8/2022,Kambia,Market/Shops/Street Word of mouth,Misinformation
hpv vaccines is safe for children from 10 years,11/8/2022,Western Urban,Market/Shops/Street Word of mouth Television Radio Online newspapers,Information
covid 19 only kill peoples with high blood pressure and not normal blood person .,11/8/2022,Port Loko,Word of mouth,Misinformation
covid 19 vaccine is a slow poison bring by government to reduce the population,11/8/2022,Port Loko,Word of mouth,Misinformation
afraid of taking the vaccine due to rumours i am heari ng about the vaccine.,11/8/2022,No specific district,Word of mouth,Rumors
vaccine something else.,11/8/2022,No specific district,Word of mouth,Misinformation
so people are saying that when they take the vaccine thay have fever,11/7/2022,Western Urban,Word of mouth,Concerns
the people are saying that government have spend a lot of money in this  vacation to protect people from covid-19,11/7/2022,Western Urban,Word of mouth,Concerns
muscle pain for few people,11/8/2022,Western Urban,Word of mouth,Concerns
loss of appetite for some people,11/8/2022,Western Urban,Word of mouth,Concerns
vaccine  side effect,11/8/2022,No specific district,Other,Concerns
"""kush drug"" is destroying the youths. say no to bad drugs.",11/8/2022,Western Urban,Word of mouth Television,Concerns
swelling hand and severe headache after taking covid 19 vaccine,11/8/2022,Western Urban,Word of mouth,Information
one man in brima lane said that covid 19 is not true sickness at all in sierra leone so that i well not take the covered vaccines at all,11/8/2022,Western Urban,Word of mouth,Information
no covid 19 in sierra leone it's just a money making program for the government,11/8/2022,Western Urban,Political events Word of mouth WhatsApp,Misinformation
"the covid 19 vaccine cause fatigue in the body or dizziness, feeling like sleeping stomach ache",11/8/2022,Western Urban,Word of mouth,Information
is covid 19 still existing in sierra leone?,11/8/2022,Western Urban,Word of mouth,Concerns
the said if the vaccine meet a sickness in your system & you take the vaccination it's will affect you,11/8/2022,Western Urban,Word of mouth,Concerns
the people there are days that covid 19 vaccine is not good for us because it can kill us after two years,11/6/2022,Tonkolili,Word of mouth,Information
a measles out break in kholifa mamuntha,11/6/2022,Tonkolili,Word of mouth,Rumors
after taking vaccine i feel safe,11/8/2022,Bo,Word of mouth,Information
covid 19 are very good but it has side effect,11/8/2022,Port Loko,Word of mouth,Misinformation
government  come  with covid  19 mainly to collect blood and sell it to europe,11/8/2022,Port Loko,Word of mouth,Misinformation
"too much vaccination can lead to death, especially covid-19 vacines",11/8/2022,Kambia,Word of mouth,Misinformation
"covid19 is real that why they brought more vaccines to injected the poor people, but the politician are not vaccinated because they can't sick covid19.covid19 is not affected the rich people only the poor peoples suffered a lot in any pandemic in sierra leone",11/8/2022,Kambia,Market/Shops/Street Word of mouth,Misinformation
"covid-19 vaccine help, some mens 
with there penis functioning(call things by their name's)",11/6/2022,Kambia,Word of mouth,Rumors
one measles case in tonkolili chiefdom kholifa mabang,11/9/2022,Tonkolili,Word of mouth,Rumors
i heard that measles has take over,11/9/2022,Bonthe,Word of mouth,Information
covid 19 vaccine kill,11/8/2022,Kono,Social mobilization Activities,Rumors
"covid 19 is finished in sierra leone,why government always instis or pasist on covid 19 vaccine intake in sierra leone",11/9/2022,Bombali,Word of mouth,Concerns
"i took the covid 19  vaccine  and i  felt weak, and i promise not to take it  again because of my previous experience",11/9/2022,Western Urban,Word of mouth,Information
i talk to a car driver he said he never took  the covid-19 vaccine and he would like to  take it.,11/9/2022,Western Urban,Word of mouth,Information
people refuse to take the c-19 vaccine,11/9/2022,Port Loko,Word of mouth,Information
some of the community said when they take the vaccine it will make their hands to swell/heavy.,11/9/2022,Port Loko,Word of mouth,Concerns
the medical supretendent of koidu government hospital cry for more government doctors.,11/9/2022,Kono,Word of mouth Radio,Concerns
vaccine are good for many sick,11/9/2022,Port Loko,Word of mouth Radio Online newspapers,Information
the fire accident  causes many people lost their lives in f/town last year,11/9/2022,Kambia,Market/Shops/Street Word of mouth Television WhatsApp,Information
covid-19 is pandemic that's affecting people worldwide.,11/9/2022,Bo,Word of mouth,Information
hpv vaccine just to stop sierra leonean girls to birth,11/8/2022,Port Loko,Word of mouth,Misinformation
no antranx,11/9/2022,Port Loko,Word of mouth,Misinformation
covid -19   is real but no for black people it for white people because the food they eat.,11/9/2022,Port Loko,Word of mouth,Misinformation
"the vaccine makes people sick, he is afraid of taking the vaccine not to get sick",11/7/2022,Western Urban,Word of mouth,Concerns
covid 19 is real and thank government for great fight.,11/9/2022,Port Loko,Word of mouth WhatsApp Printed Newspapers,Information
they think government is making money out the covid-19 situation,11/5/2022,Western Urban,Word of mouth,Misinformation
the covid-19 vaccine make my mother sick for months,11/9/2022,Western Urban,Word of mouth,Misinformation
covid is a sick for the white men that want to challenge god not for africa,11/8/2022,Western Urban,Word of mouth,Misinformation
"dose not believe the  existence of covid sierra leone, it a government way to make money.",11/9/2022,Western Urban,Word of mouth,Misinformation
"i have been vaccinated and it's not harmful as people are saying. 
it is safe",11/9/2022,Western Urban,Word of mouth,Information
